[05:19:40] [main/INFO]: Loading Minecraft 1.19.2 with Fabric Loader 0.16.3
[05:19:40] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.19.2
[05:19:40] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/BOSQUE-DEFINITIVO-ESTA-VEZ/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[05:19:45] [main/INFO]: Building unoptimized datafixer
[05:19:47] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:19:49] [main/INFO]: Loaded 7 recipes
[05:19:49] [main/INFO]: Loaded 1179 advancements
[05:19:51] [Server thread/INFO]: Starting minecraft server version 1.19.2
[05:19:51] [Server thread/INFO]: Loading properties
[05:19:51] [Server thread/INFO]: Default game type: SURVIVAL
[05:19:51] [Server thread/INFO]: Generating keypair
[05:19:52] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:19:52] [Server thread/INFO]: Using epoll channel type
[05:19:52] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:19:52] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:19:52] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:19:52] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:19:52] [Server thread/INFO]: Preparing level "world"
[05:20:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:21:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:21:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[05:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[05:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[05:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[05:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[05:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[05:21:05] [Worker-Main-1/INFO]: Preparing spawn area: 49%
[05:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[05:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[05:21:07] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[05:21:07] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[05:21:10] [Server thread/INFO]: Time elapsed: 58247 ms
[05:21:10] [Server thread/INFO]: Done (78.271s)! For help, type "help"
[05:28:32] [Server thread/INFO]: Sawakita123[/127.184.179.139:45225] logged in with entity id 275 at (-95.5, 72.0, 83.5)
[05:28:32] [Server thread/INFO]: Sawakita123 joined the game
[05:29:02] [Server thread/INFO]: Made Sawakita123 a server operator
[05:31:05] [Server thread/INFO]: [Sawakita123: Set the time to 1000]
[05:31:08] [Server thread/INFO]: Sawakita123 lost connection: Disconnected
[05:31:08] [Server thread/INFO]: Sawakita123 left the game
